word,bVoice_sym1,bVoice_sym2
save, seɪv,
saved, seɪvd,
saves, seɪvz,
saving,'seɪ vɪŋ,
true, ʧɹu,
sweet, swit,
sweeter,'swi ɾɚ,
sweetest,'swi ɾəst,
until, ʌn 'tɪl,
food, fud,
foods, fudz,
while,'waɪ əl,
send, sɛnd,
sending,'sɛn dɪŋ,
sends, sɛnz,
sent, sɛnt,
high, haɪ,
higher,'haɪ jɚ,
highest,'haɪ əst,
anymore, ɛ ni 'moɚ,
also,'ɔl soʊ,
news, nuz,
Christmas,'kɹɪ sməs,
ten, tɛn,
ass, æs,
asses,'æ səz,
business,'bɪz nɪs,
businesses,'bɪz nə səz,
couple,'kʌ pəl,
couples,'kʌ pəlz,
totally,'toʊ ɾə li,
door, doɚ,
doors, doɚz,
gay, geɪ,
exactly, ɪg 'zæk tli,
parent,'peɚ ɹɪnt,
parents,'pɛ ɹənts,
few, fju,
fewer,'fju wɚ,
fewest,'fju əst,
month, mʌnθ,
months, mʌnθs,
easier,'i zi ɚ,
easiest,'i zi əst,
easy,'i zi,
deal,'di əl,
deals, dilz,
ouch, aʊʧ,
ow, oʊ,
yow, jaʊ,
hurt, hɚt,
hurting,'hɚ ɾɪŋ,
hurts, hɚts,
nobody,'noʊ bɑ di,
perfect,'pɚ fɪkt,
lay, leɪ,
lie, laɪ,
lied, laɪd,
lies, laɪz,
lying,'laɪ ɪŋ,
free, fɹi,
freer,'fɹi ɚ,
freest,'fɹi ɪst,
young, jʌŋ,
younger,'jʌŋ gɚ,
youngest,'jʌŋ gəst,
weird, wiɚd,
weirder,'wiɚ dɚ,
weirdest,'wiɚ dəst,
whatever, wʌ 'ɾɛ vɚ,
brother,'bɹʌ ðɚ,
brothers,'bɹʌ ðɚz,
kidding,'kɪ ɾɪŋ,
ago, ɚ 'goʊ,
end, ɛnd,
ended,'ɛn dɪd,
ending,'ɛn dɪŋ,
ends, ɛnz,
others,'ʌ ðɚz,
ball, bɔl,
balls, bɔlz,
finally,'faɪ nə li,
line, laɪn,
lines, laɪnz,
its, ɪts,
ha, hɑ,
hah, hɑ,
important, ɪm 'poɚ tənt,
fall, fɔl,
fallen,'fɑ lɪn,
falling,'fɔ lɪŋ,
falls, fɔlz,
fell, fɛl,
heart, hɑɚt,
hearts, hɑɚts,
fat, fæt,
fatter,'fæ ɾɚ,
fattest,'fæ ɾəst,
class, klæs,
classes,'klæ sɪz,
shoot, ʃut,
shooting,'ʃu ɾɪŋ,
shoots, ʃuts,
shot, ʃɑt,
picture,'pɪk ʧɚ,
pictures,'pɪk ʧɚz,
sell, sɛl,
selling,'sɛ lɪŋ,
sells, sɛlz,
sold, soʊld,
side, saɪd,
sides, saɪdz,
wish, wɪʃ,
wished, wɪʃt,
wishes,'wɪ ʃɪz,
wishing,'wɪ ʃɪŋ,
mind, maɪnd,
minds, maɪndz,
hair, heɚ,
hairs,'heɪ ɚz,
cut, kʌt,
cuts, kʌts,
cutting,'kʌ ɾɪŋ,
wedding,'wɛ ɾɪŋ,
weddings,'wɛ ɾɪŋz,
reason,'ɹi zən,
reasons,'ɹi zənz,
became, bɪ 'keɪm,
become, bə 'kʌm,
becomes, bɪ 'kʌmz,
becoming, bɪ 'kʌ mɪŋ,
least, list,
bit, bɪt,
bite, baɪt,
bites, baɪts,
biting,'baɪ ɾɪŋ,
bitten,'bɪ ɾən,
fuck, fʌk,
fucked, fʌkt,
fucking,'fʌ kɪŋ,
fucks, fʌks,
under,'ʌn dɚ,
bed, bɛd,
beds, bɛdz,
paper,'peɪ pɚ,
papers,'peɪ pɚz,
different,'dɪ fɹənt,
catch, kæʧ,
catches,'kæ ʧəz,
catching,'kæ ʧɪŋ,
caught, kɔt,
set, sɛt,
sets, sɛts,
setting,'sɛ ɾɪŋ,
face, feɪs,
faces,'feɪ səz,
speak, spik,
speaking,'spi kɪŋ,
speaks, spiks,
spoke, spoʊk,
spoken,'spoʊ kɪn,
suck, sʌk,
sucked, sʌkt,
sucking,'sʌ kɪŋ,
sucks, sʌks,
sometimes,'sʌm taɪmz,
cities,'sɪ ɾiz,
city,'sɪ ɾi,
special,'spɛ ʃəl,
stick, stɪk,
sticking,'stɪ kɪŋ,
sticks, stɪks,
stuck, stʌk,
question,'kwɛs ʧɪn,
questions,'kwɛs ʧənz,
dude, dud,
dudes, dudz,
realize,'ɹi ə laɪz,
realized,'ɹi laɪzd,
realizes,'ɹi laɪ zɪz,
realizing,'ɹi laɪ zɪŋ,
birthday,'bɚθ deɪ,
birthdays,'bɚθ deɪz,
point, poɪnt,
points, poɪnts,
enjoy, ɪn 'ʤoɪ,
enjoyed, ɛn 'ʤoɪd,
enjoying, ɪn 'ʤoɪ ɪŋ,
enjoys, ɛn 'ʤoɪz,
fact, fækt,
facts, fæks,
dance, dænts,
danced, dænst,
dances,'dæn sɪz,
dancing,'dæn sɪŋ,
soon, sun,
bar, bɑɚ,
bars, bɑɚz,
wonder,'wʌn dɚ,
wondered,'wʌn dɚd,
wondering,'wʌn dɚ ɪŋ,
wonders,'wʌn dɚz,
joke, ʤoʊk,
jokes, ʤoʊks,
relationship, ɹə 'leɪ ʃən ʃɪp,
relationships, ɹə 'leɪ ʃən ʃɪps,
chance, ʧænts,
chances,'ʧæn səz,
black, blæk,
almost,'ɔl moʊst,
fight, faɪt,
fighting,'faɪ ɾɪŋ,
fights, faɪts,
fought, fɔt,
card, kɑɚd,
cards, kɑɚdz,
song, sɔŋ,
songs, sɔŋz,
bye, baɪ,
coffee,'kɑ fi,
awesome,'ɔ səm,
sick, sɪk,
sicker,'sɪ kɚ,
sickest,'sɪ kəst,
apartment, ə 'pɑɚt mənt,
apartments, ə 'pɑɚt mənts,
backs, bæks,
figure,'fɪ gjɚ,
figured,'fɪ gɚd,
figures,'fɪ gjɚz,
figuring,'fɪ gjɚ ɪŋ,
pull, pʊl,
pulled, pʊld,
pulling,'pʊ lɪŋ,
pulls, pʊlz,
box, bɑks,
boxes,'bɑk səz,
dream, dɹim,
